rn_number,permit_number,publish_date,relative_file_location
RN100221589,22049,1-5-2012,data/MAERT/RN100221589_22049_1-5-2012_1712630906.pdf
RN106522477,124341,7-6-2023,data/MAERT/RN106522477_124341_7-6-2023_1711338407.pdf
RN102294212,18694,9-23-1999,data/MAERT/RN102294212_18694_9-23-1999_1712986857.pdf
RN103209227,112089,5-13-2016,data/MAERT/RN103209227_112089_5-13-2016_1712046965.pdf
RN100664853,4421A,9-6-2012,data/MAERT/RN100664853_4421A_9-6-2012_1711180741.pdf
RN100870898,6618,8-22-2008,data/MAERT/RN100870898_6618_8-22-2008_1711886857.pdf
RN102534138,2495,8-15-2008,data/MAERT/RN102534138_2495_8-15-2008_1712593131.pdf
RN102550654,173648,11-27-2023,data/MAERT/RN102550654_173648_11-27-2023_1713027051.pdf
RN100216381,8879A,12-21-2005,data/MAERT/RN100216381_8879A_12-21-2005_1712514646.pdf
RN101948727,77395,9-27-2012,data/MAERT/RN101948727_77395_9-27-2012_1712782550.pdf
RN102498714,31510,12-29-2016,data/MAERT/RN102498714_31510_12-29-2016_1712048255.pdf
RN102534286,40313,3-3-1999,data/MAERT/RN102534286_40313_3-3-1999_1713163279.pdf
RN100216746,17586,6-22-1993,data/MAERT/RN100216746_17586_6-22-1993_1712152227.pdf
RN102324142,16758,9-14-2007,data/MAERT/RN102324142_16758_9-14-2007_1711237713.pdf
RN103126702,48240,3-28-2002,data/MAERT/RN103126702_48240_3-28-2002_1712435720.pdf
RN100219740,4788,1-29-2019,data/MAERT/RN100219740_4788_1-29-2019_1712515527.pdf
RN100211309,1467,5-7-1993,data/MAERT/RN100211309_1467_5-7-1993_1712126399.pdf
RN100222678,9390A,6-7-2012,data/MAERT/RN100222678_9390A_6-7-2012_1712539908.pdf
RN100754449,31451,9-19-1996,data/MAERT/RN100754449_31451_9-19-1996_1712857742.pdf
RN100825264,56626,1-9-2017,data/MAERT/RN100825264_56626_1-9-2017_1713755840.pdf
RN100217645,4094B,10-14-2002,data/MAERT/RN100217645_4094B_10-14-2002_1711327275.pdf
RN106077936,94794,7-11-2011,data/MAERT/RN106077936_94794_7-11-2011_1713654700.pdf
RN105684807,41073B,6-6-2002,data/MAERT/RN105684807_41073B_6-6-2002_1711327038.pdf
RN100219070,8052,10-1-2001,data/MAERT/RN100219070_8052_10-1-2001_1711946116.pdf
RN100220847,49046,11-4-2014,data/MAERT/RN100220847_49046_11-4-2014_1713007446.pdf
RN100825363,22508,4-25-1997,data/MAERT/RN100825363_22508_4-25-1997_1713751161.pdf
